Nom de l'annonce,Produit,Créateur,Type de contenu,Angle marketing,Hook,Mois,Statut,Date de lancement,Budget dépensé (€),Conversions (achats),Revenu estimé (€),ROAS,Coût par conversion (€),Impressions,Clics,Taux de clic (%)
AG1_Témoignage_Julie_Performance_V1,Abonnement,Julie Petit,Témoignage,Performance sportive,Mon avis honnête,Août 2025,Arrêtée,14/08/2025,834,50,1284.36,1.54,16.68,195239,6443,3.3
AG1_Imagestatique_Julie_Focus_V2,AG1 Powder,Julie Petit,Image statique,Focus mental,La vérité sur AG1,Novembre 2025,En pause,12/11/2025,5639,102,7950.99,1.41,55.28,199604,5988,3
AG1_Témoignage_Camille_Routine_V3,Bundle Complet,Camille Dubois,Témoignage,Routine matinale,3 mois plus tard...,Novembre 2025,En pause,24/11/2025,2127,237,5806.71,2.73,8.97,272232,4083,1.5
AG1_Témoignage_Thomas_Focus_V4,Shaker,Thomas Bernard,Témoignage,Focus mental,Ce que personne ne dit,Août 2025,Arrêtée,10/08/2025,2294,24,5092.68,2.22,95.58,309041,8653,2.8
AG1_Témoignage_Marc_Routine_V5,Abonnement,Marc Dupont,Témoignage,Routine matinale,Ce que personne ne dit,Novembre 2025,Arrêtée,05/11/2025,4724,46,13935.8,2.95,102.7,88061,1409,1.6
AG1_UGC_Studio_Digestion_V6,Bundle Complet,Studio Interne,UGC,Digestion,Avant chaque entraînement...,Octobre 2025,En pause,03/10/2025,6662,27,28113.64,4.22,246.74,433426,17770,4.1
AG1_UGC_Pierre_Routine_V7,AG1 Powder,Pierre Moreau,UGC,Routine matinale,Ce que personne ne dit,Septembre 2025,Arrêtée,12/09/2025,3764,55,6662.28,1.77,68.44,75299,1506,2
AG1_Motion-Vidéo_Julie_Immunité_V8,Bundle Complet,Julie Petit,Motion/Vidéo,Immunité,Pourquoi je ne peux plus m'en passer,Juillet 2025,En pause,06/07/2025,6316,99,25516.64,4.04,63.8,41220,989,2.4
AG1_UGC_Studio_Immunité_V9,Omega-3,Studio Interne,UGC,Immunité,Avant chaque entraînement...,Octobre 2025,Arrêtée,11/10/2025,1206,210,3412.98,2.83,5.74,388275,9707,2.5
AG1_Motion-Vidéo_Pierre_Performance_V10,Bundle Complet,Pierre Moreau,Motion/Vidéo,Performance sportive,Avant chaque entraînement...,Novembre 2025,En ligne,06/11/2025,5689,32,21959.54,3.86,177.78,47667,1525,3.2
AG1_UGC_Camille_Énergie_V11,Omega-3,Camille Dubois,UGC,Énergie quotidienne,Avant chaque entraînement...,Septembre 2025,Arrêtée,11/09/2025,2604,57,6119.4,2.35,45.68,216694,8018,3.7
AG1_Témoignage_Marc_Focus_V12,Omega-3,Marc Dupont,Témoignage,Focus mental,Mon secret de productivité,Juillet 2025,En ligne,01/07/2025,4173,205,8721.57,2.09,20.36,394305,12223,3.1
AG1_Motion-Vidéo_Emma_Performance_V13,Vitamine D3+K2,Emma Laurent,Motion/Vidéo,Performance sportive,Mon avis honnête,Juillet 2025,Archivée,06/07/2025,7290,45,17641.8,2.42,162,63215,1580,2.5
AG1_Imagestatique_Camille_Immunité_V14,Abonnement,Camille Dubois,Image statique,Immunité,Ce que personne ne dit,Juillet 2025,Arrêtée,09/07/2025,6878,25,23729.1,3.45,275.12,116038,2785,2.4
AG1_Témoignage_Marc_Performance_V15,AG1 Powder,Marc Dupont,Témoignage,Performance sportive,3 mois plus tard...,Juillet 2025,En pause,13/07/2025,5831,81,24256.96,4.16,71.99,332496,11305,3.4
AG1_UGC_Julie_Voyage_V16,Vitamine D3+K2,Julie Petit,UGC,Voyage et santé,Ce qui a changé ma vie...,Août 2025,En ligne,07/08/2025,7831,90,12921.15,1.65,87.01,295846,5029,1.7
